,CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Score,RFM_level,Kmeans cluster,Color,Advice
0,12346.0,326,1,77183.6,1,1,4,6,Loyal Customers,3,black,Direct social media messaging
1,12347.0,3,7,4310.0,4,3,4,11,Best Customers,1,blue,Promotion of new offers
2,12348.0,76,5,3366.27,2,3,4,9,Best Customers,3,black,Direct social media messaging
3,12349.0,19,1,1757.55,3,1,3,7,Loyal Customers,0,red,Huge product discount
4,12350.0,311,1,334.4,1,1,2,4,Promising but might Require Attention,2,green,Products advertisment via mail
5,12352.0,37,9,4240.56,3,4,4,11,Best Customers,1,blue,Promotion of new offers
6,12353.0,205,1,89.0,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
7,12354.0,233,1,1079.4,1,1,3,5,Loyal Customers,3,black,Direct social media messaging
8,12355.0,215,1,459.4,1,1,2,4,Promising but might Require Attention,2,green,Products advertisment via mail
9,12356.0,23,3,2811.43,3,2,4,9,Best Customers,3,black,Direct social media messaging
10,12357.0,34,1,6207.67,3,1,4,8,Loyal Customers,3,black,Direct social media messaging
11,12358.0,2,2,1168.06,4,1,3,8,Loyal Customers,0,red,Huge product discount
12,12359.0,58,4,6310.03,2,2,4,8,Loyal Customers,3,black,Direct social media messaging
13,12360.0,53,3,2662.06,2,2,4,8,Loyal Customers,3,black,Direct social media messaging
14,12361.0,288,1,189.9,1,1,1,3,Promising but might Require Attention,2,green,Products advertisment via mail
15,12362.0,4,16,8145.94,4,4,4,12,Best Customers,1,blue,Promotion of new offers
16,12363.0,110,2,552.0,2,1,2,5,Loyal Customers,2,green,Products advertisment via mail
17,12364.0,8,4,1313.1,4,2,3,9,Best Customers,0,red,Huge product discount
18,12365.0,292,2,641.38,1,1,2,4,Promising but might Require Attention,2,green,Products advertisment via mail
19,12367.0,5,1,168.9,4,1,1,6,Loyal Customers,0,red,Huge product discount
20,12370.0,52,4,3541.94,2,2,4,8,Loyal Customers,3,black,Direct social media messaging
21,12371.0,45,2,1887.96,3,1,3,7,Loyal Customers,0,red,Huge product discount
22,12372.0,72,3,1298.04,2,2,3,7,Loyal Customers,3,black,Direct social media messaging
23,12373.0,312,1,364.6,1,1,2,4,Promising but might Require Attention,2,green,Products advertisment via mail
24,12374.0,26,1,742.93,3,1,3,7,Loyal Customers,0,red,Huge product discount
25,12375.0,11,2,457.5,4,1,2,7,Loyal Customers,0,red,Huge product discount
26,12377.0,316,2,1628.12,1,1,3,5,Loyal Customers,3,black,Direct social media messaging
27,12378.0,130,1,4008.62,2,1,4,7,Loyal Customers,3,black,Direct social media messaging
28,12379.0,82,2,852.24,2,1,3,6,Loyal Customers,3,black,Direct social media messaging
29,12380.0,22,5,4220.85,3,3,4,10,Best Customers,1,blue,Promotion of new offers
30,12381.0,5,5,1845.31,4,3,3,10,Best Customers,1,blue,Promotion of new offers
31,12383.0,185,6,3148.96,1,3,4,8,Loyal Customers,3,black,Direct social media messaging
32,12384.0,29,2,585.27,3,1,2,6,Loyal Customers,0,red,Huge product discount
33,12386.0,338,2,401.9,1,1,2,4,Promising but might Require Attention,2,green,Products advertisment via mail
34,12388.0,16,8,5734.51,4,4,4,12,Best Customers,1,blue,Promotion of new offers
35,12390.0,80,1,549.84,2,1,2,5,Loyal Customers,2,green,Products advertisment via mail
36,12391.0,22,1,439.66,3,1,2,6,Loyal Customers,0,red,Huge product discount
37,12393.0,73,5,1584.55,2,3,3,8,Loyal Customers,3,black,Direct social media messaging
38,12394.0,64,2,1272.48,2,1,3,6,Loyal Customers,3,black,Direct social media messaging
39,12395.0,20,12,3018.63,3,4,4,11,Best Customers,1,blue,Promotion of new offers
40,12397.0,36,2,2409.9,3,1,4,8,Loyal Customers,3,black,Direct social media messaging
